target_ticker,most_similar,most_similar_corr,most_dissimilar,most_dissimilar_corr
009540.KS,"['329180.KS', '010620.KS', '071970.KS', '082740.KS', '010140.KS']","[0.7345639876146192, 0.6660935538573375, 0.6336155320246487, 0.5988289362924116, 0.522961917580348]","['026960.KS', '089860.KS', '018670.KS', '005930.KS', '051910.KS']","[-0.24713511296751345, -0.16380538207996803, -0.14684973950170152, -0.13584421604551186, -0.13332105661454927]"
009830.KS,"['112610.KS', '010060.KS', '028670.KS', '073240.KS', '004020.KS']","[0.5934763030267568, 0.555174416017952, 0.4855863149265094, 0.41832812357095284, 0.4026557725869873]","['267260.KS', '062040.KS', '003570.KS', '010130.KS', '307950.KS']","[-0.1596609989711493, -0.13922799647474043, -0.12263309042430579, -0.0973037568326786, -0.08240949120684116]"
009970.KS,"['006800.KS', '111770.KS', '071050.KS', '034730.KS', '003690.KS']","[0.566000788937933, 0.5448049202571398, 0.5339696108964278, 0.4997487987572934, 0.4948466095801133]","['138040.KS', '018880.KS', '066970.KS', '373220.KS', '204320.KS']","[-0.18105304142902237, -0.16832352237430076, -0.16683759657996158, -0.12762882378525572, -0.1034133476979009]"
010060.KS,"['009830.KS', '005490.KS', '004020.KS', '011200.KS', '042700.KS']","[0.555174416017952, 0.502787412119006, 0.49219283554581755, 0.4879468903119692, 0.48647772162271546]","['017800.KS', '051600.KS', '272210.KS', '010130.KS', '000150.KS']","[-0.20119138869622774, -0.17790213032205637, -0.14829339756918028, -0.11596107036910606, -0.10023021194692107]"
010120.KS,"['006260.KS', '000150.KS', '001440.KS', '103590.KS', '062040.KS']","[0.5488262500386917, 0.5275032433407689, 0.5225903738677754, 0.5175583317970247, 0.49761811680854684]","['032640.KS', '000080.KS', '280360.KS', '081660.KS', '271560.KS']","[-0.1270985496574457, -0.11527200560542213, -0.11378112786808894, -0.0953400622251403, -0.09473863546791385]"
010130.KS,"['089860.KS', '021240.KS', '267260.KS', '138930.KS', '018670.KS']","[0.3191473209941884, 0.3087699848728257, 0.2920674758388605, 0.26597098252353574, 0.2462632395767913]","['036460.KS', '330590.KS', '028670.KS', '000720.KS', '011070.KS']","[-0.33395045696808046, -0.32697591320096736, -0.2934898103372554, -0.29065728475518865, -0.2865272550619729]"
010140.KS,"['009540.KS', '329180.KS', '042660.KS', '082740.KS', '267250.KS']","[0.522961917580348, 0.4787076381496931, 0.47538576274733707, 0.46613321146319986, 0.4514346606841915]","['251270.KS', '010130.KS', '007660.KS', '192080.KS', '069960.KS']","[-0.2436965928776435, -0.23174474143944254, -0.2217974596455584, -0.19872852766915422, -0.12951117189346642]"
010620.KS,"['009540.KS', '329180.KS', '071970.KS', '017960.KS', '082740.KS']","[0.6660935538573375, 0.6186884298082078, 0.4542364865289032, 0.4466658342861947, 0.37529178702693883]","['298040.KS', '021240.KS', '298020.KS', '026960.KS', '035720.KS']","[-0.22079216574470326, -0.2156550610817122, -0.19756265881107804, -0.17242554474228114, -0.17236298900854646]"
010950.KS,"['096770.KS', '001440.KS', '001450.KS', '028050.KS', '011210.KS']","[0.6488684377483663, 0.5804664546207012, 0.5620407774231012, 0.5587932880225354, 0.5513524981070158]","['015760.KS', '375500.KS', '111770.KS', '003490.KS', '010130.KS']","[-0.2016316373725998, -0.1357608026507702, -0.12837744588494812, -0.10398456685073056, -0.09579905422134456]"
011070.KS,"['009150.KS', '034220.KS', '005935.KS', '005930.KS', '002380.KS']","[0.6232125594370103, 0.58749979556691, 0.5400547830399791, 0.5302383358966801, 0.5201792488048769]","['010130.KS', '017960.KS', '051600.KS', '267260.KS', '259960.KS']","[-0.2865272550619729, -0.13793419109685057, -0.12505243049850182, -0.091067275560215, -0.08664873620840786]"
011170.KS,"['011780.KS', '004020.KS', '005490.KS', '020150.KS', '051910.KS']","[0.7270068163708585, 0.7010761334174022, 0.6661972754569765, 0.6548683361683915, 0.6510564560585305]","['326030.KS', '137310.KS', '329180.KS', '010620.KS', '267260.KS']","[-0.1943479892387397, -0.15759044855661541, -0.15004450039446063, -0.14558292127015743, -0.13432149131952312]"
011200.KS,"['028670.KS', '180640.KS', '010060.KS', '009830.KS', '161390.KS']","[0.6082119760564125, 0.5205947970720066, 0.4879468903119692, 0.3883037221937242, 0.33064368129422966]","['192080.KS', '071970.KS', '017960.KS', '010130.KS', '207940.KS']","[-0.3445676413117438, -0.20034564957306203, -0.1876236502005462, -0.17719574537007868, -0.17196357308551247]"
011210.KS,"['005380.KS', '005490.KS', '005385.KS', '005387.KS', '004020.KS']","[0.7013929185785052, 0.6628294354327969, 0.6500258176240645, 0.6168895435666171, 0.5819399882501771]","['010130.KS', '111770.KS', '009450.KS', '103590.KS', '062040.KS']","[-0.0874747259049011, -0.08133555977121883, -0.06702265682420647, -0.04005373553895224, -0.004537565804566978]"
011780.KS,"['011170.KS', '004020.KS', '051910.KS', '383220.KS', '011210.KS']","[0.7270068163708585, 0.6308025466470573, 0.5821572331437739, 0.5651731066414682, 0.5650940172013292]","['009450.KS', '010130.KS', '062040.KS', '329180.KS', '042660.KS']","[-0.2144783550118848, -0.1860648207973194, -0.1477538481434006, -0.1349325802941559, -0.11617365909577246]"
011790.KS,"['042700.KS', '361610.KS', '096770.KS', '000660.KS', '402340.KS']","[0.6232592822881997, 0.5866659669455598, 0.5765446863877899, 0.5483906776834528, 0.5248625533904365]","['294870.KS', '047810.KS', '089860.KS', '000720.KS', '272210.KS']","[-0.17549736876411942, -0.150541426885977, -0.12624540636291354, -0.12016164328668584, -0.1011448404975642]"
012330.KS,"['039490.KS', '086790.KS', '030000.KS', '175330.KS', '011210.KS']","[0.5793366574962427, 0.5307906116816997, 0.5273497348624611, 0.5049879472410405, 0.5048771333721778]","['017960.KS', '111770.KS', '062040.KS', '006260.KS', '042660.KS']","[-0.13501301064646606, -0.10734904762387527, -0.09861867096398189, -0.08231203877063314, -0.07579561801843437]"
012450.KS,"['079550.KS', '047810.KS', '272210.KS', '003570.KS', '011170.KS']","[0.6206383676389596, 0.6031295960553668, 0.5348446170166872, 0.4961834370763206, 0.4420576422968042]","['068270.KS', '073240.KS', '030200.KS', '111770.KS', '035720.KS']","[-0.30794257475612, -0.25515461303572107, -0.21850762567398038, -0.21597109349041016, -0.20797058665864437]"
012510.KS,"['018670.KS', '035420.KS', '009420.KS', '326030.KS', '088980.KS']","[0.46006656850123306, 0.3496180493062443, 0.3430689605388473, 0.34198821916683325, 0.33723977662620264]","['300720.KS', '009450.KS', '138040.KS', '457190.KS', '330590.KS']","[-0.23194811684637456, -0.22221981407847863, -0.21095284502315487, -0.2076910784843406, -0.17020361241312584]"
012630.KS,"['294870.KS', '034230.KS', '006040.KS', '001040.KS', '282330.KS']","[0.558418703386751, 0.4795916519791085, 0.4699354629502737, 0.4671532457443802, 0.38417597074689236]","['051910.KS', '138040.KS', '204320.KS', '373220.KS', '066970.KS']","[-0.2848137805680387, -0.2785923606646456, -0.23117544275087143, -0.20157116680265966, -0.19645092162607786]"
012750.KS,"['001450.KS', '034730.KS', '000270.KS', '402340.KS', '009150.KS']","[0.4889660077264062, 0.4051934719694612, 0.399458166922171, 0.3910861446909138, 0.390161038186648]","['035420.KS', '272210.KS', '089860.KS', '064350.KS', '267270.KS']","[-0.2413961630559999, -0.24060495965817338, -0.19460200575303163, -0.16572732692012648, -0.14166170497307465]"
014680.KS,"['000990.KS', '022100.KS', '011170.KS', '020150.KS', '402340.KS']","[0.675214388485734, 0.6590545406328238, 0.5920406124342926, 0.5910287307742851, 0.5739398610293936]","['207940.KS', '395400.KS', '012510.KS', '259960.KS', '010130.KS']","[-0.18660050594251182, -0.08966149805635389, -0.056149548483088105, -0.046054198518235535, -0.0343240358337102]"
